,0
var_20,0.07204724957933176
mv_turnover_ratio,0.06154155935930717
herding_intensity,0.048166262101321515
retail_participation,0.04736300931715997
gap_ratio,0.04630460973384996
flow_price_divergence,0.04575282195371002
price_vs_20d_high,0.04437880886613759
ma_deviation_5,0.03867190462541039
max_dd_20,0.0375371094530817
volume_ratio,0.029694106186654502
volume_ratio_5,0.029352845433832004
elg_sell_ratio,0.026798905201702056
sm_sell_ratio,0.025043041570056292
fund_reversal_signal,0.02413479114769307
inst_md_ratio,0.02368559827894569
max_dd_60,0.02332493098429754
flow_acceleration,0.022793826951480637
inst_net_vol,0.021664315999052566
momentum_5d,0.02092942821670181
elg_net_vol,0.019716935450355487
inst_accumulation_momentum,0.018754550376158863
inst_net_vol_5d,0.01859589522759338
ma_deviation_10,0.01835988939663797
anchoring_bias,0.01602277311610865
lower_low_20,0.01572695658949963
kdj_j,0.015708806826274804
smart_money_5d,0.015702830774544145
inst_retail_ratio,0.015207424396851766
consecutive_up,0.014109458425117837
flow_persistence,0.013558385092881018
lg_net_vol_5d,0.013481343885503864
lg_net_vol_10d,0.012570297364997818
di_minus_14,0.01204885533044549
wr_14,0.010218449087053067
inst_imbalance,0.009943908148721873
attention_proxy,0.009523752764680819
volume_ratio_20,0.009523752764680819
lg_net_vol_20d,0.008603769622985697
lg_net_vol,0.008516621619838417
md_sell_ratio,0.008383985788484493
inst_net_vol_10d,0.007344908221889988
inst_flow_stability,0.006538839958099667
kurtosis_20,0.005762969547832481
kdj_k,0.005435735997459493
macd_hist,0.004020195848094539
lg_concentration,0.00325881820799621
net_mf_amount_5d,0.0020964972720054448
lg_buy_sell_ratio,0.001959279135204275
net_mf_amount_10d,0.0015869730525246157
lg_buy_ratio,0.0011647319283372712
net_mf_amount_ma5_ratio,0.0009287667385883795
inside_day,0.00010948322082207396
cci_20,-0.0005478871003157934
info_response_speed,-0.0009980378830864087
net_mf_amount_norm,-0.001120430341949091
lg_sell_ratio,-0.0011647319283372717
inst_net_vol_20d,-0.0018698808555664384
net_mf_amount_20d,-0.001989203838269982
bollinger_position,-0.0019901664811401705
flow_volatility,-0.0028863963394504433
kdj_d,-0.005182433252002442
momentum_10d,-0.007462759734029998
roc_10,-0.007462759734029998
psy_12,-0.008012792125329606
md_net_vol,-0.00827919173281946
md_buy_ratio,-0.008383985788484493
rsi_14,-0.009668637536974231
ma_deviation_20,-0.010061995789392325
adx_14,-0.01069744668038582
cmf_20,-0.011577958428279238
overreaction,-0.01251787708987458
obv,-0.012721382965524865
beta_60,-0.012805713013676912
mfi_14,-0.014851024749686744
force_index_13,-0.015760368700973876
skewness_20,-0.016181220116081037
consecutive_down,-0.017837210010962095
sentiment_momentum,-0.01809849128181252
disposition_effect,-0.01810140360366897
higher_high_20,-0.02028291085328343
sm_net_vol,-0.020719407940598525
retail_net_vol,-0.020719407940598525
log_float_mv,-0.02099009549180469
pe_percentile_1y,-0.02133427270434569
pe_zscore,-0.02133427270434569
retail_panic_greed,-0.02208611678841581
pvt,-0.022594191681730137
sm_imbalance,-0.025032356071621877
sm_buy_ratio,-0.025043041570056292
ma5_cross_ma20,-0.025713212118866687
ma5_ma20_ratio,-0.025713220030455376
elg_buy_ratio,-0.026798905201702056
ulcer_index_20,-0.02709445953845247
di_plus_14,-0.02860260877796738
momentum_20d,-0.030373503666880495
price_vs_20d_low,-0.03194964291081247
dpo_20,-0.032703427804743626
log_total_mv,-0.03439467607940078
macd_dif,-0.040993624444698354
ma_slope_20,-0.04160518809760487
momentum_60d,-0.04173176151703549
ma_deviation_60,-0.044502427019722984
macd_dea,-0.04696698520322797
ema12_ema26_ratio,-0.048121006113255246
ppo,-0.04812100640037337
pb_zscore,-0.05101118708717896
pb_percentile_1y,-0.05101118708717896
trix_15,-0.05465008055706336
ma10_cross_ma60,-0.05526228560276252
bollinger_width,-0.05805030516782713
downside_vol_20,-0.0617976257711137
turnover_20d,-0.06537090431913255
hist_vol_5,-0.06565672229667388
turnover_5d,-0.06687230322922554
hist_vol_60,-0.0672096320274316
amplitude_5,-0.07078697424181075
hist_vol_20,-0.07204724957933176
hist_vol_10,-0.07248280540774206
atr_14,-0.0781339766298944
nr7,
